Customer ID,Name,Account Type,Category,Transaction Type,Amount (INR),Date,City,Risk Level
HSBC10036,Mahesh Gupta,Current,Grocery,Credit,3412,2024-04-30,Kolkata,Low
HSBC10037,Anjali Tiwari,Current,Healthcare,Credit,6684,2024-10-16,Jaipur,Low
HSBC10038,Kiran Verma,Current,Insurance,Debit,5303,2024-05-15,Kolkata,Low
HSBC10039,Rohit Iyer,Fixed Deposit,EMI,Debit,15977,2024-10-15,Delhi,Medium
HSBC10040,Vikram Mishra,Current,Travel,Credit,4718,2024-06-27,Bhopal,Low
HSBC10041,Vikram Shah,Credit,Rent,Debit,13911,2024-11-30,Jaipur,Low
HSBC10042,Aarav Mishra,Credit,Online Purchase,Credit,2931,2024-03-09,Chennai,Low
HSBC10043,Anjali Singh,Current,Rent,Debit,17318,2024-11-20,Indore,Medium
HSBC10044,Ravi Das,Fixed Deposit,Salary,Debit,45087,2024-01-27,Delhi,Medium
HSBC10045,Anita Verma,Savings,Grocery,Debit,2231,2024-08-14,Jaipur,Low
HSBC10046,Anita Mishra,Savings,Utilities,Debit,2021,2024-12-19,Bhopal,Low
HSBC10047,Kavya Mishra,Savings,Transfer,Credit,4280,2024-06-06,Pune,Low
HSBC10048,Rahul Reddy,Current,Insurance,Debit,4547,2024-06-30,Vadodara,Low
HSBC10049,Mala Malhotra,Current,Online Purchase,Credit,5843,2024-03-31,Bhopal,Low
HSBC10050,Vijay Sharma,Current,Investment,Debit,43354,2024-07-29,Vadodara,Medium
HSBC10051,Sunita Verma,Current,Transfer,Credit,6934,2024-04-23,Hyderabad,Low
HSBC10052,Geeta Reddy,Credit,Transfer,Debit,100,2024-04-24,Mumbai,Low
HSBC10053,Suresh Rao,Credit,Rent,Credit,18679,2024-09-17,Kolkata,Medium
HSBC10054,Sunil Nair,Savings,Utilities,Debit,1200,2024-04-01,Surat,Low
HSBC10055,Ravi Patel,Savings,Education,Debit,4107,2024-09-18,Delhi,Low
HSBC10056,Dinesh Tiwari,Current,Salary,Credit,39356,2024-01-01,Jaipur,Medium
HSBC10057,Sunil Mehta,Credit,Shopping,Debit,6569,2024-12-05,Indore,Low
HSBC10058,Anjali Iyer,Credit,Insurance,Debit,1832,2024-12-22,Chennai,Low
HSBC10059,Mala Kumar,Current,Shopping,Debit,1120,2024-11-11,Surat,Low
HSBC10060,Nisha Rao,Savings,Rent,Credit,8310,2024-10-23,Surat,Low
HSBC10061,Kiran Chopra,Fixed Deposit,Shopping,Credit,1803,2024-03-27,Lucknow,Low
HSBC10062,Neha Iyer,Credit,Grocery,Debit,4402,2024-04-30,Lucknow,Low
HSBC10063,Nisha Shah,Current,Utilities,Credit,6919,2024-02-07,Ahmedabad,Low
HSBC10064,Vijay Tiwari,Current,Investment,Debit,23338,2024-07-23,Hyderabad,Medium
HSBC10065,Kavya Sharma,Savings,Transfer,Credit,4786,2024-08-25,Mumbai,Low
HSBC10066,Mala Shah,Savings,Shopping,Debit,137,2024-12-07,Jaipur,Low
HSBC10067,Mala Agarwal,Credit,Online Purchase,Debit,472,2024-09-15,Kolkata,Low
HSBC10068,Mala Chopra,Current,Investment,Debit,12564,2024-05-12,Vadodara,Low
HSBC10069,Sunita Verma,Fixed Deposit,Dining,Credit,5313,2024-05-19,Pune,Low
HSBC10070,Kiran Mishra,Savings,Utilities,Credit,4459,2024-12-21,Bengaluru,Low
HSBC10071,Deepa Gupta,Fixed Deposit,Shopping,Debit,2031,2024-08-03,Kolkata,Low
HSBC10072,Shobha Sharma,Fixed Deposit,Shopping,Debit,4359,2024-06-01,Vadodara,Low
HSBC10073,Dinesh Malhotra,Current,Travel,Credit,1029,2024-12-08,Lucknow,Low
HSBC10074,Lata Joshi,Fixed Deposit,ATM Withdrawal,Debit,3724,2024-09-30,Mumbai,Low
HSBC10075,Lata Tiwari,Savings,Grocery,Debit,4561,2024-05-13,Kolkata,Low
HSBC10076,Kiran Mehta,Fixed Deposit,EMI,Debit,10119,2024-07-13,Chennai,Low
HSBC10077,Vijay Verma,Savings,Shopping,Debit,9332,2024-04-24,Lucknow,Low
HSBC10078,Vikram Patel,Savings,Online Purchase,Credit,5480,2024-01-11,Surat,Low
HSBC10079,Kavya Shah,Current,Shopping,Credit,6147,2024-05-11,Vadodara,Low
HSBC10080,Rekha Joshi,Savings,Transfer,Credit,2598,2024-06-08,Delhi,Low
HSBC10081,Shobha Sharma,Credit,Healthcare,Debit,720,2024-04-11,Delhi,Low
HSBC10082,Shobha Shah,Savings,Insurance,Debit,7704,2024-12-16,Surat,Low
HSBC10083,Anjali Tiwari,Savings,EMI,Debit,8736,2024-06-23,Mumbai,Low
HSBC10084,Vijay Bose,Savings,Shopping,Debit,5657,2024-08-23,Nagpur,Low
HSBC10085,Kavya Malhotra,Current,Investment,Debit,22256,2024-10-02,Vadodara,Medium
HSBC10086,Rajesh Chopra,Fixed Deposit,Transfer,Credit,8007,2024-06-14,Indore,Low
HSBC10087,Sunita Gupta,Credit,ATM Withdrawal,Credit,152,2024-07-13,Pune,Low
HSBC10088,Priya Bose,Credit,Salary,Credit,59529,2024-05-12,Pune,High
HSBC10089,Meena Agarwal,Credit,Healthcare,Debit,4173,2024-07-27,Ahmedabad,Low
HSBC10090,Mala Shah,Fixed Deposit,Dining,Debit,5232,2024-01-09,Delhi,Low
HSBC10091,Sanjay Shah,Fixed Deposit,Insurance,Debit,1033,2024-09-28,Pune,Low
HSBC10092,Anita Mishra,Credit,EMI,Debit,9779,2024-06-05,Chennai,Low
HSBC10093,Manish Singh,Current,EMI,Debit,17834,2024-04-08,Hyderabad,Medium
HSBC10094,Rajesh Verma,Credit,Online Purchase,Debit,2337,2024-05-31,Hyderabad,Low
HSBC10095,Rekha Joshi,Credit,Grocery,Debit,2471,2024-10-10,Chennai,Low
HSBC10096,Rohit Bose,Savings,ATM Withdrawal,Debit,10186,2024-08-28,Ahmedabad,Low
HSBC10097,Prakash Nair,Current,Online Purchase,Credit,4295,2024-02-03,Kolkata,Low
HSBC10098,Sudha Gupta,Savings,Utilities,Debit,2560,2024-06-04,Delhi,Low
HSBC10099,Sunita Singh,Fixed Deposit,Education,Debit,3963,2024-08-18,Bhopal,Low
HSBC10100,Prakash Iyer,Fixed Deposit,Rent,Debit,24009,2024-11-08,Nagpur,Medium
HSBC10101,Arjun Mehta,Current,Rent,Credit,18403,2024-03-21,Mumbai,Medium
HSBC10102,Vijay Chopra,Fixed Deposit,Rent,Credit,24323,2024-12-27,Chennai,Medium
HSBC10103,Geeta Gupta,Current,ATM Withdrawal,Debit,900,2024-04-11,Kolkata,Low
HSBC10104,Anjali Mishra,Current,Dining,Debit,898,2024-03-13,Delhi,Low
HSBC10105,Sneha Joshi,Credit,Education,Debit,5866,2024-08-27,Nagpur,Low
HSBC10106,Nisha Rao,Credit,Travel,Debit,2222,2024-02-11,Surat,Low
HSBC10107,Rahul Malhotra,Credit,Education,Credit,3994,2024-10-21,Surat,Low
HSBC10108,Priya Verma,Savings,Investment,Credit,42817,2024-09-22,Lucknow,Medium
HSBC10109,Prakash Verma,Current,Online Purchase,Debit,6089,2024-08-28,Pune,Low
HSBC10110,Vijay Nair,Credit,Insurance,Debit,2561,2024-06-17,Kolkata,Low
HSBC10111,Sudha Iyer,Fixed Deposit,Transfer,Credit,1414,2024-06-14,Delhi,Low
HSBC10112,Lata Das,Savings,Dining,Debit,4108,2024-07-30,Mumbai,Low
HSBC10113,Suresh Das,Credit,Dining,Debit,2739,2024-05-16,Jaipur,Low
HSBC10114,Rohit Iyer,Fixed Deposit,ATM Withdrawal,Debit,3790,2024-01-15,Lucknow,Low
HSBC10115,Ramesh Shah,Current,Rent,Credit,15012,2024-02-28,Ahmedabad,Medium
HSBC10116,Anjali Kumar,Fixed Deposit,Online Purchase,Credit,4475,2024-12-27,Chennai,Low
HSBC10117,Vijay Bose,Fixed Deposit,Salary,Credit,29793,2024-09-17,Nagpur,Medium
HSBC10118,Rohit Gupta,Credit,Transfer,Debit,7271,2024-06-23,Bhopal,Low
HSBC10119,Mahesh Verma,Savings,Rent,Credit,2227,2024-09-07,Indore,Low
HSBC10120,Kavya Chopra,Fixed Deposit,EMI,Debit,4329,2024-10-05,Kolkata,Low
HSBC10121,Geeta Nair,Current,Online Purchase,Credit,150,2024-07-29,Mumbai,Low
HSBC10122,Kiran Bose,Fixed Deposit,EMI,Debit,17283,2024-11-29,Bengaluru,Medium
HSBC10123,Sudha Patel,Current,Travel,Debit,6978,2024-08-13,Delhi,Low
HSBC10124,Usha Chopra,Savings,Investment,Debit,7157,2024-12-01,Bengaluru,Low
HSBC10125,Vikram Bose,Credit,EMI,Debit,7400,2024-12-11,Indore,Low
HSBC10126,Sunil Rao,Credit,Dining,Debit,449,2024-09-06,Indore,Low
HSBC10127,Sunil Patel,Savings,Salary,Credit,52492,2024-02-16,Kolkata,High
HSBC10128,Arjun Singh,Fixed Deposit,Utilities,Credit,5247,2024-01-15,Mumbai,Low
HSBC10129,Kiran Patel,Credit,EMI,Debit,12150,2024-12-15,Vadodara,Low
HSBC10130,Pooja Joshi,Current,Grocery,Debit,6075,2024-11-13,Lucknow,Low
HSBC10131,Sunita Bose,Current,Salary,Credit,33474,2024-08-26,Bhopal,Medium
HSBC10132,Sanjay Mishra,Current,Grocery,Debit,4431,2024-10-27,Chennai,Low
HSBC10133,Anita Verma,Fixed Deposit,Transfer,Credit,1349,2024-05-01,Kolkata,Low
HSBC10134,Harish Reddy,Credit,Online Purchase,Credit,5404,2024-12-03,Kolkata,Low
HSBC10135,Meena Sharma,Savings,ATM Withdrawal,Debit,6185,2024-04-27,Surat,Low
HSBC10136,Amit Shah,Current,Dining,Debit,1184,2024-12-03,Lucknow,Low
HSBC10137,Rohit Singh,Savings,Rent,Debit,10875,2024-02-16,Bhopal,Low
HSBC10138,Sanjay Nair,Fixed Deposit,Salary,Credit,43324,2024-10-03,Bhopal,Medium
HSBC10139,Rekha Das,Credit,Transfer,Credit,4797,2024-05-31,Nagpur,Low
HSBC10140,Asha Singh,Fixed Deposit,Online Purchase,Credit,943,2024-04-25,Indore,Low
HSBC10141,Lata Mishra,Credit,Grocery,Debit,3384,2024-07-07,Lucknow,Low
HSBC10142,Ravi Tiwari,Fixed Deposit,Transfer,Debit,4779,2024-02-25,Lucknow,Low
HSBC10143,Manish Bose,Savings,Dining,Debit,1885,2024-11-27,Delhi,Low
HSBC10144,Geeta Iyer,Fixed Deposit,Utilities,Credit,6527,2024-01-20,Chennai,Low
HSBC10145,Sudha Singh,Savings,Salary,Credit,43949,2024-12-22,Jaipur,Medium
HSBC10146,Vijay Tiwari,Current,ATM Withdrawal,Debit,5050,2024-09-07,Surat,Low
HSBC10147,Vijay Verma,Savings,Insurance,Credit,1775,2024-07-04,Delhi,Low
HSBC10148,Rekha Mishra,Credit,Grocery,Credit,4125,2024-03-03,Indore,Low
HSBC10149,Geeta Gupta,Current,Dining,Debit,7856,2024-05-04,Bengaluru,Low
HSBC10150,Harish Mehta,Savings,Transfer,Credit,4088,2024-10-27,Hyderabad,Low
HSBC10151,Manish Nair,Current,Transfer,Credit,2274,2024-03-07,Jaipur,Low
HSBC10152,Ravi Joshi,Savings,Dining,Credit,10586,2024-01-08,Pune,Low
HSBC10153,Sunita Tiwari,Credit,Grocery,Credit,5327,2024-02-28,Nagpur,Low
HSBC10154,Vikram Bose,Fixed Deposit,Transfer,Credit,5368,2024-02-25,Ahmedabad,Low
HSBC10155,Mahesh Shah,Savings,Investment,Debit,19493,2024-11-25,Mumbai,Medium
HSBC10156,Sneha Bose,Fixed Deposit,Shopping,Credit,1719,2024-12-30,Bhopal,Low
HSBC10157,Prakash Gupta,Savings,EMI,Credit,15928,2024-10-26,Jaipur,Medium
HSBC10158,Kiran Rao,Credit,Shopping,Debit,5992,2024-02-20,Vadodara,Low
HSBC10159,Anjali Mishra,Current,Shopping,Debit,516,2024-07-23,Kolkata,Low
HSBC10160,Arjun Nair,Fixed Deposit,EMI,Credit,15865,2024-03-19,Lucknow,Medium
HSBC10161,Rajesh Gupta,Savings,Transfer,Credit,6865,2024-03-07,Jaipur,Low
HSBC10162,Sneha Tiwari,Credit,Insurance,Debit,5836,2024-12-06,Vadodara,Low
HSBC10163,Anita Patel,Credit,Education,Debit,1974,2024-12-02,Ahmedabad,Low
HSBC10164,Manish Singh,Credit,Transfer,Credit,2687,2024-05-22,Surat,Low
HSBC10165,Manish Malhotra,Savings,Education,Debit,3289,2024-05-19,Nagpur,Low
HSBC10166,Nisha Nair,Credit,Grocery,Debit,2932,2024-10-16,Lucknow,Low
HSBC10167,Lata Gupta,Current,Investment,Debit,37371,2024-07-11,Kolkata,Medium
HSBC10168,Geeta Nair,Current,EMI,Debit,14681,2024-10-17,Surat,Low
HSBC10169,Neha Patel,Current,Utilities,Debit,2584,2024-12-04,Kolkata,Low
HSBC10170,Sudha Agarwal,Fixed Deposit,Shopping,Credit,1731,2024-09-19,Delhi,Low
HSBC10171,Amit Malhotra,Savings,Rent,Debit,10610,2024-01-24,Hyderabad,Low
HSBC10172,Lata Agarwal,Savings,Grocery,Debit,3811,2024-04-18,Vadodara,Low
HSBC10173,Rohit Verma,Credit,EMI,Credit,11953,2024-07-13,Jaipur,Low
HSBC10174,Manish Das,Credit,Grocery,Debit,1946,2024-01-22,Kolkata,Low
HSBC10175,Priya Chopra,Savings,ATM Withdrawal,Debit,100,2024-08-01,Chennai,Low
HSBC10176,Anjali Rao,Savings,Online Purchase,Credit,1751,2024-11-12,Ahmedabad,Low
HSBC10177,Rekha Gupta,Fixed Deposit,Transfer,Credit,917,2024-07-21,Indore,Low
HSBC10178,Nisha Nair,Current,EMI,Credit,9418,2024-09-18,Lucknow,Low
HSBC10179,Anjali Das,Current,ATM Withdrawal,Debit,2845,2024-03-16,Hyderabad,Low
HSBC10180,Arjun Kumar,Credit,Salary,Credit,27548,2024-12-01,Delhi,Medium
HSBC10181,Pooja Bose,Fixed Deposit,Investment,Debit,861,2024-10-16,Lucknow,Low
HSBC10182,Shanta Nair,Credit,Utilities,Credit,5292,2024-08-14,Lucknow,Low
HSBC10183,Nisha Verma,Savings,EMI,Credit,10924,2024-07-07,Indore,Low
HSBC10184,Sanjay Gupta,Savings,Dining,Debit,3665,2024-08-24,Surat,Low
HSBC10185,Mala Patel,Fixed Deposit,ATM Withdrawal,Debit,4789,2024-09-13,Bengaluru,Low
HSBC10186,Sneha Chopra,Savings,Transfer,Debit,6654,2024-02-13,Jaipur,Low
HSBC10187,Pooja Patel,Current,Insurance,Debit,109,2024-07-05,Pune,Low
HSBC10188,Sanjay Rao,Fixed Deposit,Transfer,Credit,2983,2024-01-27,Vadodara,Low
HSBC10189,Asha Gupta,Credit,Grocery,Debit,2646,2024-12-02,Bhopal,Low
HSBC10190,Ramesh Kumar,Credit,Grocery,Debit,7418,2024-06-28,Chennai,Low
HSBC10191,Lata Kumar,Savings,Rent,Debit,20370,2024-12-09,Nagpur,Medium
HSBC10192,Usha Gupta,Fixed Deposit,Travel,Credit,923,2024-06-07,Bengaluru,Low
HSBC10193,Deepa Nair,Fixed Deposit,Salary,Debit,62065,2024-02-21,Jaipur,High
HSBC10194,Sunil Das,Savings,Dining,Debit,5231,2024-11-12,Bengaluru,Low
HSBC10195,Ramesh Rao,Current,Utilities,Debit,4101,2024-03-25,Nagpur,Low
HSBC10196,Prakash Patel,Fixed Deposit,EMI,Debit,4785,2024-08-15,Surat,Low
HSBC10197,Sanjay Chopra,Current,Travel,Debit,4513,2024-04-09,Pune,Low
HSBC10198,Harish Chopra,Fixed Deposit,Transfer,Credit,876,2024-09-14,Jaipur,Low
HSBC10199,Vijay Joshi,Current,Transfer,Credit,3500,2024-07-09,Jaipur,Low
HSBC10200,Arjun Das,Savings,Rent,Debit,25159,2024-05-19,Ahmedabad,Medium
HSBC10201,Mahesh Kumar,Fixed Deposit,Grocery,Debit,5614,2024-01-14,Kolkata,Low
HSBC10202,Sneha Rao,Credit,Salary,Debit,26524,2024-07-10,Hyderabad,Medium
HSBC10203,Priya Nair,Savings,Transfer,Credit,3850,2024-05-26,Bhopal,Low
HSBC10204,Rajesh Kumar,Fixed Deposit,Shopping,Credit,2185,2024-02-10,Mumbai,Low
HSBC10205,Ravi Mehta,Current,Healthcare,Debit,2305,2024-05-27,Hyderabad,Low
HSBC10206,Nisha Singh,Savings,Salary,Credit,53736,2024-11-14,Ahmedabad,High
HSBC10207,Vikram Singh,Fixed Deposit,Education,Credit,1648,2024-03-14,Chennai,Low
HSBC10208,Anita Sharma,Credit,Salary,Credit,53923,2024-12-06,Lucknow,High
HSBC10209,Neha Das,Credit,Grocery,Debit,3951,2024-10-10,Mumbai,Low
HSBC10210,Dinesh Bose,Savings,Dining,Debit,3157,2024-05-09,Nagpur,Low
HSBC10211,Priya Reddy,Savings,EMI,Debit,7240,2024-06-19,Bengaluru,Low
HSBC10212,Rahul Reddy,Credit,Transfer,Credit,401,2024-12-16,Ahmedabad,Low
HSBC10213,Rajesh Joshi,Current,Grocery,Debit,1490,2024-01-23,Vadodara,Low
HSBC10214,Suresh Patel,Credit,Online Purchase,Debit,4048,2024-10-05,Ahmedabad,Low
HSBC10215,Ravi Patel,Current,Rent,Debit,24975,2024-05-19,Delhi,Medium
HSBC10216,Rekha Malhotra,Fixed Deposit,Investment,Debit,30185,2024-07-16,Pune,Medium
HSBC10217,Pooja Bose,Fixed Deposit,EMI,Debit,11826,2024-08-05,Delhi,Low
HSBC10218,Anita Agarwal,Current,Healthcare,Debit,4532,2024-02-10,Pune,Low
HSBC10219,Sanjay Iyer,Fixed Deposit,Education,Debit,2640,2024-01-22,Nagpur,Low
HSBC10220,Amit Agarwal,Fixed Deposit,Rent,Debit,13675,2024-01-30,Delhi,Low
HSBC10221,Lata Reddy,Current,Online Purchase,Credit,100,2024-01-18,Bengaluru,Low
HSBC10222,Vikram Shah,Credit,EMI,Debit,7637,2024-01-17,Surat,Low
HSBC10223,Kavya Chopra,Credit,EMI,Debit,7609,2024-07-22,Pune,Low
HSBC10224,Meena Shah,Savings,Grocery,Credit,2125,2024-09-22,Kolkata,Low
HSBC10225,Mala Singh,Credit,Transfer,Credit,4259,2024-12-21,Bhopal,Low
HSBC10226,Sudha Mehta,Savings,Utilities,Credit,6855,2024-03-29,Bhopal,Low
HSBC10227,Prakash Gupta,Credit,Insurance,Debit,1531,2024-06-02,Indore,Low
HSBC10228,Aditya Joshi,Credit,Travel,Credit,2860,2024-04-12,Vadodara,Low
HSBC10229,Rohit Shah,Fixed Deposit,Grocery,Debit,435,2024-10-09,Bengaluru,Low
HSBC10230,Shanta Gupta,Savings,Rent,Debit,24619,2024-09-02,Jaipur,Medium
HSBC10231,Vijay Malhotra,Savings,Utilities,Debit,6001,2024-09-21,Pune,Low
HSBC10232,Rohit Mishra,Current,Transfer,Credit,4758,2024-09-14,Bhopal,Low
HSBC10233,Sneha Singh,Current,Rent,Credit,21278,2024-09-22,Bhopal,Medium
HSBC10234,Sanjay Gupta,Credit,Salary,Debit,50725,2024-05-20,Bengaluru,High
HSBC10235,Nisha Agarwal,Savings,Travel,Credit,4851,2024-12-03,Surat,Low
HSBC10236,Ramesh Nair,Savings,Transfer,Credit,2981,2024-01-24,Lucknow,Low
HSBC10237,Harish Verma,Current,Transfer,Credit,1615,2024-11-17,Jaipur,Low
HSBC10238,Sanjay Iyer,Fixed Deposit,Salary,Debit,41502,2024-07-26,Chennai,Medium
HSBC10239,Geeta Gupta,Savings,Utilities,Debit,1277,2024-03-14,Pune,Low
HSBC10240,Kiran Reddy,Fixed Deposit,Utilities,Debit,4005,2024-10-14,Delhi,Low
HSBC10241,Kiran Shah,Fixed Deposit,Utilities,Debit,4010,2024-07-15,Indore,Low
HSBC10242,Shanta Malhotra,Current,Online Purchase,Debit,4124,2024-06-16,Bhopal,Low
HSBC10243,Harish Nair,Current,Investment,Debit,10957,2024-06-06,Ahmedabad,Low
HSBC10244,Priya Gupta,Fixed Deposit,Travel,Debit,3229,2024-04-20,Surat,Low
HSBC10245,Amit Patel,Savings,Rent,Debit,22115,2024-05-26,Jaipur,Medium
HSBC10246,Aarav Singh,Fixed Deposit,Utilities,Credit,382,2024-07-06,Vadodara,Low
HSBC10247,Lata Reddy,Savings,Shopping,Debit,4581,2024-02-07,Kolkata,Low
HSBC10248,Mahesh Chopra,Credit,Transfer,Credit,6484,2024-11-08,Delhi,Low
HSBC10249,Rohit Singh,Fixed Deposit,EMI,Debit,8433,2024-03-14,Hyderabad,Low
HSBC10250,Ramesh Das,Fixed Deposit,Travel,Credit,2652,2024-03-11,Nagpur,Low
HSBC10251,Asha Bose,Fixed Deposit,Utilities,Debit,7195,2024-06-12,Bengaluru,Low
HSBC10252,Lata Agarwal,Credit,Education,Debit,7954,2024-09-17,Jaipur,Low
HSBC10253,Sudha Tiwari,Credit,Shopping,Credit,2911,2024-08-01,Surat,Low
HSBC10254,Nisha Sharma,Fixed Deposit,Rent,Debit,20102,2024-10-23,Surat,Medium
HSBC10255,Manish Patel,Fixed Deposit,Utilities,Debit,100,2024-03-16,Indore,Low
HSBC10256,Sunita Patel,Savings,Salary,Credit,35338,2024-08-02,Bengaluru,Medium
HSBC10257,Vijay Mehta,Fixed Deposit,Travel,Debit,1279,2024-02-01,Nagpur,Low
HSBC10258,Rohit Das,Current,Healthcare,Debit,4362,2024-09-01,Jaipur,Low
HSBC10259,Dinesh Nair,Current,Shopping,Debit,100,2024-12-14,Lucknow,Low
HSBC10260,Ravi Agarwal,Fixed Deposit,Salary,Credit,48545,2024-10-12,Chennai,Medium
HSBC10261,Manish Iyer,Credit,Insurance,Debit,649,2024-10-13,Bhopal,Low
HSBC10262,Meena Iyer,Savings,Healthcare,Debit,3697,2024-07-21,Indore,Low
HSBC10263,Amit Kumar,Credit,Grocery,Debit,8490,2024-12-01,Chennai,Low
HSBC10264,Rajesh Mehta,Current,Transfer,Credit,6204,2024-10-14,Nagpur,Low
HSBC10265,Meena Kumar,Savings,Dining,Debit,3676,2024-09-28,Hyderabad,Low
HSBC10266,Manish Patel,Savings,Shopping,Debit,7218,2024-02-21,Lucknow,Low
HSBC10267,Rohit Sharma,Current,Shopping,Debit,5557,2024-04-12,Vadodara,Low
HSBC10268,Sanjay Nair,Credit,Dining,Debit,1529,2024-02-15,Lucknow,Low
HSBC10269,Harish Shah,Savings,ATM Withdrawal,Credit,4648,2024-01-19,Indore,Low
HSBC10270,Lata Bose,Current,Online Purchase,Debit,2452,2024-05-28,Bhopal,Low
HSBC10271,Rahul Sharma,Credit,Healthcare,Credit,5534,2024-11-24,Jaipur,Low
HSBC10272,Usha Bose,Current,ATM Withdrawal,Debit,3282,2024-04-08,Vadodara,Low
HSBC10273,Anjali Nair,Current,Investment,Debit,24604,2024-06-21,Vadodara,Medium
HSBC10274,Sanjay Tiwari,Current,Salary,Debit,52523,2024-07-26,Indore,High
HSBC10275,Anita Das,Credit,Grocery,Debit,4048,2024-06-14,Bhopal,Low
HSBC10276,Sunita Sharma,Credit,EMI,Debit,14020,2024-05-16,Pune,Low
HSBC10277,Nisha Tiwari,Savings,Rent,Debit,18638,2024-08-26,Chennai,Medium
HSBC10278,Aditya Rao,Credit,Insurance,Debit,7198,2024-05-31,Pune,Low
HSBC10279,Shanta Shah,Current,Online Purchase,Debit,3698,2024-07-10,Kolkata,Low
HSBC10280,Mala Bose,Current,Investment,Debit,35043,2024-11-01,Indore,Medium
HSBC10281,Neha Das,Fixed Deposit,Travel,Debit,4559,2024-10-07,Bhopal,Low
HSBC10282,Mahesh Mehta,Current,Utilities,Debit,2894,2024-08-14,Delhi,Low
HSBC10283,Deepa Tiwari,Fixed Deposit,Grocery,Debit,4491,2024-09-19,Kolkata,Low
HSBC10284,Geeta Tiwari,Savings,Healthcare,Debit,937,2024-06-06,Nagpur,Low
HSBC10285,Priya Rao,Credit,Transfer,Credit,2829,2024-06-25,Nagpur,Low
HSBC10286,Vikram Mishra,Savings,Online Purchase,Credit,3140,2024-08-29,Mumbai,Low
HSBC10287,Sanjay Malhotra,Current,Transfer,Credit,7069,2024-08-03,Pune,Low
HSBC10288,Dinesh Chopra,Fixed Deposit,EMI,Debit,11218,2024-12-04,Indore,Low
HSBC10289,Sunil Kumar,Credit,Utilities,Debit,2479,2024-04-24,Indore,Low
